"","x","y","area"
"343",15960,18724,"domain_1"
"344",13428,13215,"domain_6"
"345",14932,6829,"domain_1"
"346",14434,11182,"domain_4"
"347",11415,17570,"domain_2"
"348",10139,8722,"domain_4"
"349",13171,10459,"domain_4"
"350",18991,19589,"domain_1"
"351",19228,9289,"domain_3"
"352",21248,10156,"domain_3"
"353",18226,14513,"other"
"354",18743,22926,"domain_3"
"355",13437,19598,"domain_4"
"356",14436,12052,"domain_1"
"357",22252,6383,"domain_3"
"358",21014,22198,"domain_3"
"359",6856,8002,"domain_2"
"360",17968,10886,"domain_1"
"361",21262,19441,"domain_3"
"362",15958,17273,"domain_1"
"363",9149,21781,"domain_2"
"364",7119,14530,"domain_2"
"365",7890,23378,"domain_2"
"366",5355,16709,"domain_2"
"367",6106,12791,"domain_2"
"368",18214,6679,"domain_1"
"369",19236,14801,"domain_3"
"370",10905,14669,"domain_2"
"371",21763,16539,"domain_3"
"372",18995,22201,"domain_3"
"373",17481,22493,"domain_4"
"374",12931,18438,"domain_4"
"375",16714,16546,"domain_1"
"376",14953,20466,"domain_4"
"377",22510,9719,"domain_3"
"378",15456,19305,"domain_4"
"379",18720,7258,"domain_1"
"380",4855,19611,"domain_2"
"381",19230,10739,"other"
"382",5099,14533,"domain_2"
"383",16451,9438,"domain_1"
"384",11907,9445,"other"
"385",14198,21483,"domain_4"
"386",21001,13493,"domain_3"
"387",12430,21340,"domain_4"
"388",20234,7256,"domain_1"
"389",15439,7699,"domain_1"
"390",11906,8574,"other"
"391",18744,23217,"domain_3"
"392",21766,18570,"domain_3"
"393",19986,10013,"domain_3"
"394",5850,10034,"domain_2"
"395",6113,16853,"domain_2"
"396",16448,7697,"domain_1"
"397",18214,6969,"domain_1"
"398",10914,20182,"domain_2"
"399",9394,16703,"domain_2"
"400",12153,5237,"domain_4"
"401",10148,14235,"domain_2"
"402",12933,19889,"domain_4"
"403",13172,11329,"domain_1"
"404",6363,15256,"domain_2"
"405",19736,11899,"other"
"406",10158,20909,"domain_2"
"407",5110,21206,"domain_2"
"408",17982,19881,"domain_1"
"409",12167,13942,"domain_6"
"410",8130,15689,"domain_2"
"411",22020,19875,"domain_3"
"412",4596,15404,"domain_2"
"413",14693,15389,"domain_4"
"414",16205,13646,"domain_1"
"415",14179,9587,"domain_4"
"416",12419,14087,"domain_6"
"417",11144,5819,"other"
"418",22529,22485,"domain_3"
"419",3850,23094,"domain_2"
"420",10913,19602,"domain_2"
"421",13670,6976,"domain_4"
"422",4598,16855,"domain_2"
"423",22273,19729,"domain_3"
"424",7615,9016,"domain_2"
"425",22506,7398,"domain_3"
"426",19238,15962,"domain_3"
"427",8391,20766,"domain_2"
"428",16963,13789,"domain_1"
"429",17214,13064,"domain_1"
"430",16209,16257,"domain_1"
"431",19224,6677,"domain_1"
"432",15693,8714,"domain_1"
"433",9907,22215,"domain_2"
"434",7611,6405,"domain_2"
"435",22251,5802,"domain_5"
"436",21767,19150,"domain_3"
"437",21748,6964,"domain_5"
"438",6362,14676,"domain_2"
"439",21500,9720,"domain_3"
"440",12168,14812,"domain_4"
"441",21509,15523,"domain_3"
"442",14194,19161,"domain_4"
"443",20989,5369,"domain_5"
"444",14931,5958,"domain_1"
"445",16950,5665,"domain_1"
"446",8128,14238,"domain_2"
"447",4345,16420,"domain_2"
"448",14188,15099,"domain_4"
"449",13676,10748,"domain_4"
"450",8622,6984,"domain_4"
"451",5854,12936,"domain_2"
"452",12178,21486,"domain_4"
"453",20252,18862,"domain_3"
"454",22762,9573,"domain_3"
"455",7372,14965,"domain_2"
"456",22530,22776,"domain_3"
"457",6628,23525,"domain_2"
"458",5864,19319,"domain_2"
"459",21756,12186,"domain_3"
"460",19730,7547,"domain_1"
"461",10143,11043,"domain_4"
"462",22509,9139,"domain_3"
"463",18981,13206,"domain_1"
